study_id;authors;year;differing_fields;claude_method;gemini_method;claude_outcome;gemini_outcome;claude_direction;gemini_direction;claude_conditions;gemini_conditions;gemini_key_finding;row_type;resolution
S01;Wamba-Taguimdje S.L.;2020;outcome_construct;case study;case study;performance;both;conditional;conditional;"process reconfiguration required (mechanism: performance gains only when AI features are used to reconfigure processes); AI as configuration of complements (data, talent, domain knowledge, partnerships, infrastructure)";process reconfiguration;AI capabilities improve firm performance at both organizational and process levels, but only when firms leverage AI to reconfigure their business processes.;DISAGREEMENT;performance (adjudicated by Arthur, 18 Jul 2026, full-text read: research model P1-P6 contains no CA construct)
S04;Chatterjee S.;2022;"outcome_construct; effect_direction";survey-SEM;survey-SEM;performance;both;positive;conditional;"technology turbulence (negative moderator on automated decision-making/operational efficiency paths); leadership support (positive moderator)";"Technology turbulence; leadership support";Adopting an AI-embedded CRM system positively impacts B2B relationship satisfaction and firm performance, an effect that is negatively moderated by technology turbulence and positively moderated by leadership support.;DISAGREEMENT;"performance + positive (adjudicated by Arthur, 18 Jul 2026, full-text read: construct list ADM/OPE/ACRM/BRS/FP contains no CA; main effect ACRM->FP 0.53*** unconditional, TT/LS are moderators on side paths)"
S05;Hossain M.A.;2022;method;mixed;survey-SEM;competitive_advantage;competitive_advantage;conditional;conditional;marketing analytics capability (foundation/complement: sensing-seizing-reconfiguring performance is higher when AI is adopted on the strength of the analytics platform);"marketing analytics capability; market sensing; market seizing; market reconfiguration";AI adoption enhances a firm's marketing analytics platform, which improves its dynamic capabilities of market sensing, seizing, and reconfiguration to ultimately achieve a sustained competitive advantage.;DISAGREEMENT;"survey-SEM (adjudicated by Arthur, 18 Jul 2026, full-text read: hypotheses tested purely via PLS-SEM n=257; interviews/Delphi only for problem verification + instrument development)"
S07;Leoni L.;2022;effect_direction;survey-SEM;survey-SEM;performance;performance;positive;conditional;knowledge management processes (mediator: AI affects performance and supply-chain resilience through KMPs);Knowledge management processes (KMPs);AI adoption positively impacts manufacturing firm performance by enhancing knowledge management processes, which act as a crucial mediator.;DISAGREEMENT;conditional (adjudicated by Arthur, 18 Jul 2026, full-text read: FULL mediation - direct AI->MFP 0.006 n.s. (H2 rejected), effect exists only via KMPs)
S09;Mishra S.;2022;"; conditions-existence";panel econometrics;panel econometrics;performance;performance;mixed;mixed;"cost-revenue dynamics (costs rise slower than revenue under automation); marketing-related AI focus";;A firm's textual focus on AI in 10-K reports is associated with lower gross operating efficiency (sales per employee) but higher net operating efficiency and profitability.;DISAGREEMENT;conditions = empty (adjudicated by Arthur, 18 Jul 2026, full-text read: study tests no moderators/interactions - explicitly deferred to future research)
S10;Sun Y.;2022;outcome_construct;survey-SEM;survey-SEM;competitive_advantage;both;conditional;conditional;"dynamic capabilities (full mediator - no direct effect); innovation capabilities (full mediator)";"dynamic capabilities; innovation capabilities";For manufacturing SMEs, value co-creation in the AI innovation ecosystem does not directly impact competitive advantage, but rather the effect is fully mediated by the development of dynamic and innovation capabilities.;DISAGREEMENT;"competitive_advantage (adjudicated by Arthur, 18 Jul 2026, full-text read: outcomes = CA + innovation intelligibility; economic value is a co-creation-value mediator (Yim et al. items), not a performance construct)"
S11;Ali Mohamad T.;2023;"outcome_construct; conditions-existence";case study;case study;both;competitive_advantage;positive;positive;team expertise and pre-existing process arrangement around the technology (qualitative) - VERIFY exact conditions on final pass;;The adoption of robotic surgery in a hospital creates a competitive advantage through improved clinical, financial, organizational, and technological outcomes.;DISAGREEMENT;"both + conditions filled (adjudicated by Arthur, 18 Jul 2026, full-text read: four concrete outcome categories incl. quantified financial outcome AND distinct competitive-position evidence with competitor comparison/bargaining power; conditions: qualified robotic team, cultural shift, DHA approval, high uncovered costs)"
S12;Czarnitzki D.;2023;"; conditions-existence";panel econometrics;panel econometrics;performance;performance;positive;positive;"intensity of AI use (dose-response); IV estimates larger than OLS (endogeneity works against naive estimates)";;Using a representative survey of German firms, the study finds a positive and significant association between AI adoption and firm-level productivity.;DISAGREEMENT;"conditions = empty (adjudicated by Arthur, 18 Jul 2026, full-text read: intensity is an alternative treatment measure, not a condition; adoption dummy alone already positive; no moderator/heterogeneity findings)"
S16;Wu C.W.;2023;method;survey-SEM;mixed;performance;performance;positive;positive;fsQCA configurations: marketing capabilities + customer value co-creation + market orientation + AI strategy jointly form necessary and sufficient recipes for high performance;"marketing capabilities; customer value co-creation; market orientation";AI marketing strategies positively impact firm performance, with this relationship being supported by the firm's marketing capabilities, customer value co-creation, and market orientation.;DISAGREEMENT;"survey-SEM (adjudicated by Arthur, 18 Jul 2026, full-text read: SEM tests the hypotheses, fsQCA explicitly supplementary/comparative; both quantitative on same survey - not mixed methods)"
S18;Cannas V.G.;2024;"outcome_construct; effect_direction";case study;case study;performance;both;positive;conditional;barriers as boundary conditions: data quality, AI skills, high investment needs, unclear economic benefits, lack of AI cost-analysis experience;"data quality; lack of specific skills; high investment costs; unclear economic benefits; lack of experience in cost analysis";AI applications in operations and supply chain management can boost competitiveness by improving performance, but successful implementation is conditional on overcoming barriers like poor data quality, skill gaps, and high investment requirements.;DISAGREEMENT;"performance + positive (adjudicated by Arthur, 18 Jul 2026, full-text read: competitiveness = operational improvements (costs/lead times/service/quality), no distinct competitive-position evidence; barriers are implementation hurdles -> conditions column, not direction)"
