study_id	column	text
# Reader-facing rewordings for the appendix table ONLY. The coded values in
# coding_table.csv stay untouched; nothing here changes a category, a direction,
# or the identity of a condition — only the wording. Tab-separated because the
# texts contain semicolons. Delete a line to fall back to the coded cell.
S04	conditions	technology turbulence weakens the paths from automated decision-making and operational efficiency to B2B relationship satisfaction (negative moderator); leadership support strengthens the path from satisfaction to firm performance (positive moderator); the main effect of AI-CRM on firm performance is unconditional
S05	conditions	mediators: market sensing, seizing and reconfiguring carry the effect of marketing analytics capability on sustained competitive advantage in full; moderator: AI adoption strengthens all three capability paths
S07	conditions	full mediation through knowledge management processes: the direct path from AI to manufacturing performance is not significant while both legs of the indirect path are; AI has no direct effect on supply chain resilience either; larger firms reach higher AI maturity
S10	conditions	full mediation: value co-creation has no direct effect on competitive advantage; dynamic capabilities and innovation capabilities carry the entire effect
S17	conditions	channel: product innovation rather than process efficiency; gains concentrate among firms that were already large, which raises industry concentration (superstar dynamics)
S21	conditions	adaptive response to market change is a full mediator, with no direct AI-to-performance paths modelled; environmental hostility weakens the automation path (negative moderator) and turns the relational path insignificant; environmental dynamism moderates as well; only ten of eighteen conditional indirect effects are significant
S24	conditions	sustainable competitive advantage mediates between AI adoption and value creation; dynamic capabilities first impede value creation through transition costs and become crucial later under turbulence; technological turbulence moderates only the path from capabilities to value creation
S26	conditions	U-shaped effect with a quantified turning point at roughly USD 11.3M of AI venture funding: below it AI drags revenue, above it AI pays; coupling AI with an R&D innovation strategy amplifies the effect, standalone AI is insufficient
S27	conditions	what counts is the substance of the disclosure: actionable disclosures bring valuation gains, innovation and lagged productivity, speculative or irrelevant ones bring nothing, and silent or vague peers are penalised
S28	conditions	no direct path from AI-infused knowledge to performance is modelled; green human capital and green structural capital carry the effect, the green relational capital channel is empty; sustainability culture moderates the path from green capital to performance
S37	conditions	ethical leadership moderates the path from GenAI adoption to performance; adoption reasons for and against it (uniqueness, information completeness, convenience, deceptiveness)
S38	conditions	manager personality traits (Big Five) drive adoption; competitive advantage mediates between adoption and performance; organizational culture moderates the effect of agreeableness on adoption
S40	conditions	HR competencies and open innovation build dynamic capabilities, which mediate; financial support and IT infrastructure act as enabling resources
S41	conditions	data assets mediate 45.6% of the effect while a significant direct effect remains; managerial capability moderates; boundary conditions: no effect in heavily polluting industries unless the firm has a credible green transition, and none in asset-intensive firms; state-owned enterprises gain about twice as much as private ones
S44	conditions	labour market conditions: labour productivity amplifies the growth effect, while labour cost and labour share weaken it (a ten percent rise in AI investment adds 0.04% growth on average)
S46	conditions	wage inequality partially mediates: AI human capital compresses inequality and thereby raises firm value; the effect is stronger in dynamic and complex industries; by sector, the value effect is strongest in travel and the inequality compression in hospitality
S48	conditions	component split: RPA and AI jointly add revenue growth through price increases but no additional cost reduction (the joint term is insignificant, while each technology on its own does cut costs); a strategic revenue-growth intent amplifies the revenue outcomes
S55	conditions	full mediation: the direct path from responsible AI to competitive advantage is not significant, the effect runs entirely through distributive and procedural justice; supply chain complexity weakens the distributive path but not the procedural one
S56	conditions	three GenAI affordances mediate between technological opportunism and competitive advantage; competitive intensity amplifies only the creational-affordance path
S57	conditions	internal control quality partially mediates: AI improves governance and risk management, which in turn raises total factor productivity
S60	conditions	the regulatory climate moderates how strongly innovation translates into productivity, with clarity and supportive enforcement jointly maximising it (moderated mediation); an experiment in study 2 provides causal evidence for the regulatory conditions
S63	conditions	prescriptive capabilities fail as a component of the AI capability bundle; firm type is a boundary condition: the effect is strong for Industry-4.0 manufacturers and significantly weaker, though not absent, for traditional firms
S67	conditions	full mediation: strategic resilience fully accounts for the relationship between AI capability and venture success; fsQCA identifies equifinal configurations that lead to high performance
