eid;study_id;authors;year;journal;ajg2024;doi;pdf;theoretical_lens;method;sample;country_region;industry;ai_measure;outcome_construct;performance_measure;ca_measure;effect_direction;conditions;key_finding;quality_notes;coding_status
2-s2.0-85084434769;S01;"Wamba-Taguimdje S.L.; Fosso Wamba S.; Kala Kamdjoug J.R.; Tchatchouang Wanko C.E.";2020;Business Process Management Journal;2;10.1108/BPMJ-10-2019-0411;WambaTaguimdje_2020_BPMJ-10-2019-0411.pdf;IT capabilities + process-oriented perspective (Mooney et al.) + RBV/dynamic capabilities;case study;~500 vendor-published AI project mini-cases (IBM, AWS, Cloudera, Nvidia etc.), archival qualitative analysis;multi-country;cross-industry;case observation (AI-based transformation projects from vendor websites);performance;organizational performance (financial, marketing, administrative) + process-level performance, qualitative;;conditional;"process reconfiguration required (mechanism: performance gains only when AI features are used to reconfigure processes); AI as configuration of complements (data, talent, domain knowledge, partnerships, infrastructure)";AI transformation projects improve organizational and process performance, but only when firms use AI to reconfigure their processes rather than overlay it on existing ones.;"Vendor success-story mini-cases; authors themselves note possible bias: ""exaggerated claims"" (p. 20). Code as low-rigor qualitative evidence";final
2-s2.0-85114994435;S02;"Baabdullah A.M.; Alalwan A.A.; Slade E.L.; Raman R.; Khatatneh K.F.";2021;Industrial Marketing Management;3;10.1016/j.indmarman.2021.09.003;Baabdullah_2021_j-indmarman-2021-09-003.pdf;TOE;survey-SEM;392 B2B SMEs, cross-section, CB-SEM;Saudi Arabia;cross-industry (B2B SMEs);survey construct (acceptance of AI practices);performance;perceived SME performance (survey scale);;positive;"technology roadmapping (enabler, sig.); attitude (sig.); infrastructure readiness (sig.); awareness (sig.); professional expertise and technicality NOT significant";"Acceptance of AI practices improves perceived SME performance; adoption is driven by roadmapping, attitude, infrastructure and awareness - not by professional expertise.";Perceptual self-report, cross-sectional;final
2-s2.0-85111595849;S03;"Chatterjee S.; Rana N.P.; Tamilmani K.; Sharma A.";2021;Industrial Marketing Management;3;10.1016/j.indmarman.2021.07.013;Chatterjee_2021_j-indmarman-2021-07-013.pdf;institutional theory + RBV;survey-SEM;349 managers from 16 BSE-listed firms (11 manufacturing, 5 service), response rate 51.6%, PLS-SEM;India;manufacturing + service (B2B);survey construct (AI-CRM implementation);both;perceived organizational performance (survey scale);"competitive advantage scale (COA1-3, Rogers-based; incl. market-share gain), discriminant-valid vs OP; predicted BY performance (H4: 0.59***, R2=.76)";positive;"mediators: B2B engagement, employee experience, information processing capability (all sig.); moderator: leadership support (H5/H6 sig., MGA); firm size/age/industry only CONTROLS (not moderators)";AI-CRM implementation improves perceived organizational performance and competitive advantage in B2B relationship management.;"Perceptual survey; 16-firm cluster behind 349 respondents; COA items partly adoption-flavored (COA1: edge over non-adopters) | SAMPLE-CHECK OK: fully verified in one-by-one adjudication (full read)";final
2-s2.0-85132736557;S04;"Chatterjee S.; Chaudhuri R.; Vrontis D.";2022;Journal of Business Research;3;10.1016/j.jbusres.2022.06.033;Chatterjee_2022_j-jbusres-2022-06-033.pdf;RBV + dynamic capability view + status-quo-bias theory;survey-SEM;"312 usable manager responses from 14 BSE-listed firms (10 large/4 SME; telecom, IT, automobile, retail, pharma), Jan-Feb 2020, RR 47.3%, PLS-SEM";India;cross-industry (B2B);survey construct (adoption of AI-embedded CRM system);performance;firm performance scale (market+financial criteria, ROI/ROA, sales growth, market share, profitability) + B2B relationship satisfaction;;positive;"technology turbulence (negative moderator on ADM->BRS -0.23* and OPE->BRS -0.32***); leadership support (positive moderator on BRS->FP 0.29*); main effect ACRM->FP 0.53*** unconditional";"AI-embedded CRM improves relationship satisfaction and firm performance; gains shrink under technology turbulence and grow with leadership support.";"Perceptual survey; 14-firm cluster; same author group as S03 - here deliberately NO CA construct";final
2-s2.0-85137406820;S05;"Hossain M.A.; Agnihotri R.; Rushan M.R.I.; Rahman M.S.; Sumi S.F.";2022;Industrial Marketing Management;3;10.1016/j.indmarman.2022.08.017;Hossain_2022_j-indmarman-2022-08-017.pdf;dynamic capabilities (sensing/seizing/reconfiguring);survey-SEM;"257 usable manager responses (1,953 approached, 278 qualified), RMG export manufacturers, research-firm panel/Qualtrics, random sampling; time-lagged robustness subsample n=93";Bangladesh;readymade garment (manufacturing, B2B export);survey construct (AI adoption on top of marketing analytics platform);competitive_advantage;;sustained competitive advantage = RELATIVE performance vs competitors over last 3 years (market share growth, sales growth, profitability, ROI) - boundary case performance-as-CA, discuss in thesis;conditional;"mediators: market sensing/seizing/reconfiguring (carry MAC->SCA fully, H3a-c); moderator: AI adoption strengthens MAC->sensing (0.104*), ->seizing (0.131*), ->reconfiguring (0.128*)";"Marketing analytics capability drives sensing/seizing/reconfiguring toward sustained competitive advantage; AI adoption amplifies this only when built on an analytics foundation.";"Multi-phase design but interviews/Delphi only developmental; perceptual measures with objective-data correlation check (r=0.67); AI is moderator, not focal predictor - note for coding discussion";final
2-s2.0-85145799845;S06;"Lee Y.S.; Kim T.; Choi S.; Kim W.";2022;Technovation;3;10.1016/j.technovation.2022.102590;Lee_2022_j-technovation-2022-102590.pdf;technology complementarity (no grand theory);panel econometrics;160 high-tech ventures (from 1,248 ministry list, 300 responses), survey + audited financials;South Korea;high-tech ventures;survey (AI-adoption intensity) linked to financial records;performance;revenue growth;;conditional;"AI-intensity threshold (low-level adoption: no effect); complementary technology investments (cloud, database) amplify; internal/exclusive R&D strategy amplifies";AI pays off only above an adoption-intensity threshold, and more so with complementary technology investments and venture-specific internal R&D.;"n=160 cross-section; representativeness tested (K-S); objective revenue data";final
2-s2.0-85140368311;S07;"Leoni L.; Ardolino M.; El Baz J.; Gueli G.; Bacchetti A.";2022;International Journal of Operations and Production Management;4;10.1108/IJOPM-05-2022-0282;Leoni_2022_IJOPM-05-2022-0282.pdf;knowledge management / KBV;survey-SEM;120 senior executives of manufacturing firms, PLS-SEM;Italy;manufacturing;survey construct (AI adoption/use);performance;perceived manufacturing firm performance (survey scale);;conditional;"FULL mediation via knowledge management processes: direct AI->MFP 0.006 n.s. (H2 rejected), AI->KMPs 0.48***, KMPs->MFP 0.51***; also AI->SCR direct n.s.; firm size -> AI maturity (0.26**)";AI alone does NOT improve manufacturing firm performance - the effect exists exclusively through knowledge management processes (full mediation).;"Perceptual, n=120 cross-section, AJG 4 outlet; direct-path rejection makes this a strong conditional-evidence anchor";final
2-s2.0-85100825019;S08;"Lui A.K.H.; Lee M.C.M.; Ngai E.W.T.";2022;Annals of Operations Research;3;10.1007/s10479-020-03862-8;lui2022impact.pdf;IT business value / event-study tradition (investor expectations), no grand theory;event study;119 AI investment announcements by 62 listed firms, Factiva search Jan 2015 - Feb 2019;"multi-market (announcements via Factiva; market composition not explicit)";cross-industry;announcements (AI investment announcements);performance;"firm market value (CAR; -1.77% on event day)";;negative;"nonmanufacturing firms (more negative); weak IT capability (more negative); low credit rating (more negative)";"BENCHMARK: investors react negatively to AI investment announcements on average; the penalty concentrates in nonmanufacturing firms with weak IT capability and low credit ratings.";"Short-window event study; market perception, not realized performance | SAMPLE-CHECK OK: event study/negative confirmed in full-text probes";final
2-s2.0-85131535046;S09;"Mishra S.; Ewing M.T.; Cooper H.B.";2022;Journal of the Academy of Marketing Science;4*;10.1007/s11747-022-00876-5;Mishra_2022_s11747-022-00876-5.pdf;economic + marketing theory (guiding framework, no single lens);panel econometrics;"19,000 firm-year observations, US-listed firms (COMPUSTAT + EDGAR 10-Ks), simultaneous equations; PSM robustness (1,801 treatment / 2,251 control firms)";USA;cross-industry;10-K text (share of AI keywords = AI focus);performance;gross and net operating efficiency, net profitability, adspend, employment;;mixed;;AI focus reduces gross operating efficiency but increases net operating efficiency and profitability - automation raises costs more slowly than revenues.;"Archival text measure (AI focus, not investment); endogeneity addressed via instruments (Cragg-Donald) + PSM; NO moderators tested (explicitly deferred) - rare unconditional-evidence case for synthesis contrast group";final
2-s2.0-85131009081;S10;"Sun Y.; Xu X.; Yu H.; Wang H.";2022;Systems Research and Behavioral Science;2;10.1002/sres.2860;Sun_2022_sres-2860.pdf;value co-creation + dynamic capabilities;survey-SEM;234 AI-related manufacturers (GM/CEO respondents), CB-SEM;China;manufacturing (AI-related);survey construct (value co-creation in AI innovation ecosystem);competitive_advantage;;"perceived competitive advantage scale (own construct, Table 3) + innovation intelligibility; NO performance construct in model";conditional;"FULL mediation: direct paths VC->CA and EV/RV->CA not significant; dynamic capabilities + innovation capabilities carry the effect (Leoni/Wang pattern: effect only via mechanism)";Value co-creation in AI ecosystems has NO direct effect on competitive advantage - effects run entirely through dynamic and innovation capabilities.;"Perceptual, cross-section, n=234 GM/CEO respondents; economic/relationship value are co-creation perceptions (Yim et al. 2012 items), easily mistaken for performance";final
