study_id	column	text
# Condensed reader-facing cells for the printed appendix table (Arthur's request, 19 Aug 2026):
# absolute-minimum wording, no coder provenance, no estimator jargon, brackets only where they add meaning.
# Rendering layer only — coding_table.csv stays untouched. "notes" = short evidence tags derived from
# quality_notes; the Notes column was trialled in Table A.2 and removed again (author's decision,
# 19 Aug 2026) — the notes entries are kept here but are NOT printed.
S01	sample	~500 vendor-published AI project cases
S01	ai_measure	case observation (vendor project reports)
S01	performance_measure	organizational and process performance (qualitative)
S01	conditions	process reconfiguration required; complementary resources (data, talent, domain knowledge, partnerships, infrastructure)
S01	notes	vendor success stories; low-rigor qualitative
S02	sample	392 B2B SMEs
S02	conditions	adoption enablers: technology roadmapping, attitude, infrastructure readiness, awareness; professional expertise not significant
S02	notes	perceptual self-report; cross-sectional
S03	sample	349 managers
S03	performance_measure	perceived organizational performance
S03	ca_measure	competitive advantage scale (incl. market-share gain)
S03	conditions	mediators: B2B engagement, employee experience, information processing; moderator: leadership support
S03	notes	perceptual survey; 16-firm cluster
S04	sample	312 manager responses
S04	ai_measure	survey construct (AI-embedded CRM adoption)
S04	performance_measure	firm performance scale; B2B relationship satisfaction
S04	conditions	technology turbulence weakens the paths to relationship satisfaction; leadership support strengthens the satisfaction-to-performance path
S04	notes	perceptual survey; 14-firm cluster
S05	sample	257 manager responses
S05	ai_measure	survey construct (AI adoption on a marketing analytics platform)
S05	ca_measure	sustained competitive advantage (relative performance vs. competitors)
S05	conditions	mediators: market sensing, seizing, and reconfiguring carry the effect in full; moderator: AI adoption strengthens all three capability paths
S05	notes	perceptual survey; objective-data check; AI as moderator
S06	sample	160 high-tech firms
S06	conditions	adoption-intensity threshold (low-level adoption shows no effect); complementary cloud and database investments amplify
S06	notes	cross-sectional survey; objective revenue data
S07	sample	120 senior executives
S07	performance_measure	perceived manufacturing firm performance
S07	conditions	full mediation: knowledge management processes carry the entire effect, the direct path from AI to performance is not significant; AI has no direct effect on supply chain resilience either; larger firms reach higher AI maturity
S07	notes	perceptual survey; cross-sectional
S08	sample	119 AI investment announcements by 62 listed firms, 2015-2019
S08	performance_measure	firm market value (abnormal stock returns around the announcement)
