study_id,column,verdict,note,date
S01,country_region,ok,,2026-08-19
S01,country_region,ok,,2026-08-19
S01,sample,ok,,2026-08-19
S01,method,ok,,2026-08-19
S01,ai_measure,ok,,2026-08-19
S01,outcome_construct,ok,,2026-08-19
S01,performance_measure,ok,,2026-08-19
S01,ca_measure,ok,,2026-08-19
S01,effect_direction,ok,,2026-08-19
S01,conditions,ok,,2026-08-19
S01,key_finding,ok,,2026-08-19
S01,theoretical_lens,ok,,2026-08-19
S01,industry,ok,,2026-08-19
S01,quality_notes,ok,,2026-08-19
S08,country_region,flag,recode USA,2026-08-19
S08,sample,ok,,2026-08-19
S08,method,ok,,2026-08-19
S08,ai_measure,ok,,2026-08-19
S08,outcome_construct,ok,,2026-08-19
S08,performance_measure,ok,,2026-08-19
S08,effect_direction,ok,,2026-08-19
S08,conditions,flag,maybe add that a better IT lessend the negative impact,2026-08-19
S08,key_finding,ok,,2026-08-19
S08,theoretical_lens,ok,,2026-08-19
S08,industry,flag,can we check that again?,2026-08-19
S08,quality_notes,ok,,2026-08-19
S15,effect_direction,ok,"positive bestaetigt (Entscheidung 19.8.): alle acht Pfade positiv+signifikant, kein Null-Kanal - mediated-positive-Regel; conditional nur bei Konditionalitaets-EVIDENZ (getesteter Null-Direktpfad wie S07/S55 oder Null-Kanaele wie S21/S28)",2026-08-19
S39,effect_direction,ok,"positive bestaetigt (Entscheidung 19.8., analog S15): volle Mediation via Marketing-Agilitaet, alle Pfade positiv, kein Null-Kanal",2026-08-19
S15,effect_direction,ok,,2026-08-19
S15,conditions,ok,,2026-08-19
S15,key_finding,ok,,2026-08-19
S15,theoretical_lens,ok,,2026-08-19
S15,industry,flag,"check that again (do we even need(B2B, climate management context)?)",2026-08-19
S15,quality_notes,ok,,2026-08-19
S16,country_region,ok,,2026-08-19
S16,country_region,ok,,2026-08-19
S16,sample,ok,,2026-08-19
S16,sample,flag,was 278 people or food firms?,2026-08-19
S16,method,flag,is that what it means?,2026-08-19
S16,ai_measure,ok,,2026-08-19
S16,outcome_construct,ok,,2026-08-19
S16,performance_measure,ok,,2026-08-19
S16,ca_measure,ok,,2026-08-19
S16,effect_direction,ok,,2026-08-19
S16,conditions,ok,,2026-08-19
S16,key_finding,ok,,2026-08-19
S16,theoretical_lens,ok,,2026-08-19
S16,industry,flag,check again if that is actually the only industry,2026-08-19
S16,quality_notes,ok,,2026-08-19
S21,country_region,flag,recode: Europe,2026-08-19
S21,country_region,flag,recode: France/UK,2026-08-19
S21,sample,flag,"107 executives, France/UK",2026-08-19
S21,method,ok,,2026-08-19
S21,ai_measure,ok,,2026-08-19
S21,outcome_construct,ok,,2026-08-19
S21,performance_measure,ok,,2026-08-19
S21,ca_measure,ok,,2026-08-19
S21,effect_direction,flag,check this one more time just to be sure,2026-08-19
S21,conditions,ok,,2026-08-19
S21,key_finding,flag,check that again,2026-08-19
S21,theoretical_lens,ok,,2026-08-19
S21,industry,ok,,2026-08-19
S21,quality_notes,ok,,2026-08-19
S26,country_region,ok,,2026-08-19
S26,sample,flag,"1,479 firms in 26 EU countries 2012-2023",2026-08-19
S26,method,ok,,2026-08-19
